Rank,Nam,Team,Yr,Pos,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G,
1,Bailey Zappe,Western Ky,SR,QB,14,17,5967,737,5984,8.12,427.4,
2,Brennan Armstrong,Virginia,JR,QB,11,251,4449,598,4700,7.86,427.3,
3,C.J. Stroud,Ohio State,FR,QB,12,-20,4435,473,4415,9.33,367.9,
4,Will Rogers,Miss St,SO,QB,13,-95,4739,746,4644,6.23,357.2,
5,Kenny Pickett,Pittsburgh,SR,QB,13,241,4319,594,4560,7.68,350.8,
6,Carson Strong,Nevada,JR,QB,12,-208,4175,574,3967,6.91,330.6,
7,Sam Hartman,Wk Forest,SO,QB,14,363,4228,625,4591,7.35,327.9,
8,Bryce Young,Alabama,SO,QB,15,0,4872,628,4872,7.76,324.8,
9,Sam Howell,N Carolina,JR,QB,12,829,3056,529,3885,7.34,323.8,
10,Tanner Mordecai,SMU,JR,QB,12,202,3628,528,3830,7.25,319.2,
11,Jake Haener,Fresno St,SR,QB,13,5,4096,561,4101,7.31,315.5,
12,Seth Henigan,Memphis,FR,QB,11,147,3322,473,3469,7.33,315.4,
13,Adrian Martinez,Nebraska,JR,QB,11,525,2863,439,3388,7.72,308,
14,Malik Cunningham,Louisville,JR,QB,13,1034,2941,510,3975,7.79,305.8,
15,Matt Corral,Miss,JR,QB,13,614,3349,538,3963,7.37,304.8,
16,Taulia Tagovailoa,Maryland,SO,QB,13,81,3860,554,3941,7.11,303.2,
17,Aidan O'Connell,Purdue,SR,QB,12,-120,3708,464,3588,7.73,299,
18,Tyler Van Dyke,Miami (Fl),FR,QB,10,57,2931,377,2988,7.93,298.8,
19,Jaren Hall,BYU,SO,QB,10,307,2583,358,2890,8.07,289,
20,Grayson McCall,Coast Car,SO,QB,11,290,2873,334,3163,9.47,287.5,
21,Malik Willis,Liberty,JR,QB,13,878,2857,536,3735,6.97,287.3,
22,Chevan Cordeiro,Hawai'i,JR,QB,11,342,2793,469,3135,6.68,285,
23,Todd Centeio,CSU,SR,QB,12,439,2958,511,3397,6.65,283.1,
24,Devin Leary,NC State,SO,QB,12,-73,3433,485,3360,6.93,280,
25,Brett Gabbert,Miami (Oh),SO,QB,10,151,2648,355,2799,7.88,279.9,
26,Dustin Crum,Kent State,SR,QB,14,703,3187,542,3890,7.18,277.9,
27,Holton Ahlers,ECU,JR,QB,12,204,3130,530,3334,6.29,277.8,
28,Grant Wells,Marshall,FR,QB,13,56,3535,504,3591,7.13,276.2,
29,Dorian Thompson-Robinson,UCLA,SR,QB,11,609,2409,413,3018,7.31,274.4,
30,Hendon Hooker,Tennessee,SR,QB,13,613,2945,470,3558,7.57,273.7,
31,Chase Garbers,California,SR,QB,11,461,2525,452,2986,6.61,271.5,
32,Spencer Sanders,Okla St,JR,QB,13,664,2831,538,3495,6.5,268.8,
33,Emory Jones,Florida,JR,QB,13,758,2734,489,3492,7.14,268.6,
34,Frank Harris,UTSA,SR,QB,14,561,3161,508,3722,7.33,265.9,
35,Clayton Tune,Houston,JR,QB,14,154,3546,525,3700,7.05,264.3,
36,Logan Bonner,Utah State,JR,QB,14,66,3628,498,3694,7.42,263.9,
37,Desmond Ridder,Cincinnati,SR,QB,14,355,3334,497,3689,7.42,263.5,
37,Brock Purdy,Iowa State,SR,QB,13,238,3188,492,3426,6.96,263.5,
39,Payton Thorne,Mich St,SO,QB,13,181,3233,471,3414,7.25,262.6,
40,Jonah Johnson,NMSU,JR,QB,11,166,2705,569,2871,5.05,261,
41,Chris Reynolds,Charlotte,SR,QB,11,183,2684,421,2867,6.81,260.6,
42,Anthony Brown,Oregon,SR,QB,14,658,2989,541,3647,6.74,260.5,
43,Kaleb Eleby,W Mich,SO,QB,13,64,3278,450,3342,7.43,257.1,
44,KJ Jefferson,Arkansas,SO,QB,13,664,2676,440,3340,7.59,256.9,
45,Davis Brin,Tulsa,JR,QB,13,73,3254,478,3327,6.96,255.9,
46,Hank Bachmeier,Boise St,JR,QB,12,-20,3080,461,3060,6.64,255,
47,Sean Clifford,Penn State,SR,QB,13,169,3107,527,3276,6.22,252,
48,Chase Brice,App St,SR,QB,14,161,3337,461,3498,7.59,249.9,
49,Jake Bentley,USA,SR,QB,10,-8,2476,350,2468,7.05,246.8,
50,Bo Nix,Auburn,JR,QB,10,168,2294,380,2462,6.48,246.2,
51,Will Levis,Kentucky,JR,QB,13,376,2812,460,3188,6.93,245.2,
52,Gavin Hardison,UTEP,SO,QB,13,-44,3223,405,3179,7.85,244.5,
53,N'Kosi Perry,FAU,SR,QB,12,149,2762,452,2911,6.44,242.6,
54,Max Duggan,TCU,JR,QB,10,352,2048,332,2400,7.23,240,
55,Jayden de Laura,Wash St,SO,QB,12,67,2789,405,2856,7.05,238,
56,Jayden Daniels,Ariz St,JR,QB,13,710,2380,439,3090,7.04,237.7,
57,Ben Bryant,EMU,SR,QB,13,-43,3121,495,3078,6.22,236.8,
58,Rocky Lombardi,N Illinois,JR,QB,13,472,2597,437,3069,7.02,236.1,
59,Kedon Slovis,USC,JR,QB,9,-36,2153,323,2117,6.55,235.2,
60,Jack Coan,Notre Dame,SR,QB,13,-100,3150,443,3050,6.88,234.6,
61,Levi Lewis,La-Lafytte,SR,QB,14,343,2916,490,3259,6.65,232.8,
62,Tanner McKee,Stanford,SO,QB,10,-1,2327,376,2326,6.19,232.6,
63,Max Johnson,LSU,SO,QB,12,-40,2814,451,2774,6.15,231.2,
64,Cameron Rising,Utah,SO,QB,13,499,2493,394,2992,7.59,230.2,
65,Connor Bazelak,Missouri,SO,QB,11,-23,2548,410,2525,6.16,229.5,
65,Gunnar Holmberg,Duke,SR,QB,11,167,2358,412,2525,6.13,229.5,
67,Chance Nolan,Oregon St,SO,QB,13,286,2677,388,2963,7.64,227.9,
68,Jarret Doege,WVU,SR,QB,13,-134,3048,483,2914,6.03,224.2,
69,Max Bortenschlager,FIU,SR,QB,12,-250,2935,392,2685,6.85,223.8,
70,Stetson Bennett,Georgia,SR,QB,14,259,2862,343,3121,9.1,222.9,
71,Dylan Morris,Washington,FR,QB,11,-25,2458,409,2433,5.95,221.2,
72,Layne Hatcher,Ark St,SO,QB,11,-54,2423,391,2369,6.06,215.4,
73,Matt McDonald,BGSU,SR,QB,12,13,2555,473,2568,5.43,214,
74,Caleb Williams,Oklahoma,FR,QB,11,435,1912,290,2347,8.09,213.4,
75,Kurtis Rourke,Ohio,SO,QB,10,327,1801,334,2128,6.37,212.8,
76,Skylar Thompson,Kansas St,SR,QB,10,4,2113,280,2117,7.56,211.7,
77,Michael Pratt,Tulane,FR,QB,12,152,2381,433,2533,5.85,211.1,
78,Gerry Bohanon,Baylor,JR,QB,12,323,2194,352,2517,7.15,209.8,
79,Jordan Travis,FSU,SO,QB,10,535,1539,328,2074,6.32,207.4,
80,Braxton Burmeister,Va Tech,JR,QB,12,514,1960,372,2474,6.65,206.2,
81,Drew Plitt,Ball State,SR,QB,13,131,2541,492,2672,5.43,205.5,
82,Kyle Vantrease,Buffalo,SR,QB,10,109,1865,292,1974,6.76,197.4,
83,DJ Uiagalelei,Clemson,SO,QB,13,308,2246,479,2554,5.33,196.5,
84,Dequan Finn,Toledo,FR,QB,13,505,2044,361,2549,7.06,196.1,
85,Daniel Richardson,CMU,FR,QB,13,-38,2583,339,2545,7.51,195.8,
86,Timmy McClain,S Florida,FR,QB,11,238,1888,385,2126,5.52,193.3,
87,Casey Thompson,Texas,JR,QB,12,157,2113,316,2270,7.18,189.2,
88,Cade McNamara,Michigan,JR,QB,14,26,2576,364,2602,7.15,185.9,
89,Garrett Shrader,Syracuse,SO,QB,12,781,1445,407,2226,5.47,185.5,
90,Hayden Wolff,ODU,FR,QB,10,-92,1933,267,1841,6.9,184.1,
91,Darren Grainger,Georgia St,JR,QB,13,646,1715,362,2361,6.52,181.6,
92,Zach Calzada,Texas A&M,SO,QB,12,-9,2185,363,2176,5.99,181.3,
93,Austin Aune,N Texas,SO,QB,13,325,1992,375,2317,6.18,178.2,
94,Dylan Hopkins,UAB,JR,QB,13,19,2275,320,2294,7.17,176.5,
95,Will Plummer,Arizona,FR,QB,10,130,1605,327,1735,5.31,173.5,
96,Cameron Friel,UNLV,FR,QB,9,-74,1608,272,1534,5.64,170.4,
97,Noah Vedral,Rutgers,SR,QB,13,297,1813,405,2110,5.21,162.3,
98,Haaziq Daniels,Air Force,JR,QB,12,736,1171,258,1907,7.39,158.9,
99,Tanner Morgan,Minnesota,SR,QB,13,-9,2044,309,2035,6.59,156.5,
100,Mikey Keene,UCF,FR,QB,11,-36,1730,307,1694,5.52,154,